"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"24-0052124","2024 Sep 03 08:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0027992","2026 May 26 10:00:00 PM","Theft from Auto","23G","Property","true","Residence / Home","Prince George's County Police","20770","II","D1","0886","PG COUNTY"
"26-0007088","2026 Feb 11 04:22:10 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0042438","2026 Aug 10 05:45:47 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0029611","2025 May 31 09:30:38 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0002812","2025 Sep 30 12:59:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20715","II","BP3","","BOWIE"
"25-0000217","2025 Jan 25 06:00:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0001683","2025 Jun 13 03:30:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"26-0001695","2026 Jun 14 03:20:00 AM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Bowie City Police","20721","II","BP6","","BOWIE"
"24-0072548","2024 Dec 04 05:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"24-0053545","2024 Sep 05 12:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D6","0842","PG COUNTY"
"25-0049243","2025 Sep 04 10:56:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E4","0709","PG COUNTY"
"25-0006903","2025 Feb 05 06:00:00 PM","Theft from Auto","23G","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0000971","2026 Apr 10 05:12:00 PM","Theft from Auto","23F","Property","true","Residence / Home","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0003403","2024 Nov 16 05:00:00 AM","Theft from Auto","23F","Property","false","Parking Lot/Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"25-0000235","2025 Jan 25 07:05:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0003383","2024 Nov 17 03:45:28 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"24-0049348","2024 Aug 22 03:50:43 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Prince George's County Police","20770","II","D1","0886","PG COUNTY"
"24-0072852","2024 Dec 01 06:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"26-0000513","2026 Jan 03 06:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E5","0703","PG COUNTY"
"25-0011276","2025 Mar 02 05:00:00 PM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"25-0014907","2025 Mar 21 05:30:00 PM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0002898","2024 Nov 08 12:01:07 AM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"24-0003543","2024 Nov 30 06:30:00 PM","Theft from Auto","23F","Property","false","Residence/Home","Bowie City Police","20716","II","BP6","","BOWIE"
"25-0000534","2025 Feb 25 07:20:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP6","","BOWIE"
"26-0035488","2026 Jul 03 06:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0011229","2025 Mar 03 08:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0010315","2026 Feb 28 01:00:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0003410","2026 Jan 18 05:51:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","","PG COUNTY"
"25-0032590","2025 Jun 15 12:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0058960","2025 Oct 22 02:00:00 PM","Theft from Auto","23F","Property","true","Residence / Home","Prince George's County Police","20716","II","E6","0855","PG COUNTY"
"25-0017578","2025 Apr 02 09:58:16 AM","Theft from Auto","23G","Property","true","Service / Gas Station","Prince George's County Police","20706","II","D5","0828","PG COUNTY"
"25-0019020","2025 Apr 10 06:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20770","II","D1","0886","PG COUNTY"
"26-0001660","2026 Jan 09 02:09:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"25-0026743","2025 May 18 11:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0002688","2024 Sep 17 07:30:00 AM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0002669","2024 Sep 14 03:00:10 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"24-0060731","2024 Oct 13 03:15:00 AM","Theft from Auto","23F","Property","true","Residence/Home","Prince George's County Police","20772","II","E4","0709","PG COUNTY"
"25-0051982","2025 Sep 17 09:00:00 PM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D1","0837","PG COUNTY"
"25-0072032","2025 Dec 29 08:30:00 PM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0000340","2025 Feb 12 06:00:00 PM","Theft from Auto","23G","Property","false","Highway / Road / Alley","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"25-0055656","2025 Oct 05 10:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0002226","2025 Aug 01 04:00:00 PM","Theft from Auto","23F","Property","false","Parking Lot / Garage","Bowie City Police","20716","II","BP6","","BOWIE"
"25-0053624","2025 Sep 25 07:00:00 PM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"26-0005714","2026 Feb 02 10:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20770","II","D1","0886","PG COUNTY"
"25-0048705","2025 Sep 01 10:00:30 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D1","0835","PG COUNTY"
"25-0067495","2025 Dec 04 03:45:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0003295","2025 Nov 12 08:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0000219","2025 Jan 25 07:00:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","PG COUNTY"
"25-0065325","2025 Nov 22 05:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0001541","2026 May 30 12:00:00 AM","Theft from Auto","23G","Property","true","Residence / Home","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0073311","2024 Dec 09 02:30:00 AM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","20706","II","D5","0839","PG COUNTY"
"26-0034210","2026 Jun 25 02:00:00 PM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Prince George's County Police","20774","II","E5","0703","PG COUNTY"
"24-0074710","2024 Dec 15 03:30:52 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","","PG COUNTY"
"25-0003693","2025 Dec 19 01:00:00 PM","Theft from Auto","23F","Property","true","Residence / Home","Bowie City Police","20715","II","BP2","","BOWIE"
"25-0011652","2025 Feb 23 02:00:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"24-0069240","2024 Nov 18 11:00:00 PM","Theft from Auto","23F","Property","true","Park/Playground","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0066018","2025 Nov 26 02:27:37 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0003054","2025 Oct 24 02:40:00 PM","Theft from Auto","23F","Property","true","Restaurant","Bowie City Police","20716","II","BP5","","BOWIE"
"24-0003367","2024 Nov 08 08:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP3","","BOWIE"
"25-0029065","2025 May 29 08:00:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0002664","2024 Oct 15 02:30:28 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"26-0007901","2026 Feb 14 01:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20772","II","E4","0717","PG COUNTY"
"24-0003596","2024 Dec 05 10:45:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0001354","2025 May 13 09:15:06 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"25-0039717","2025 Jul 20 12:01:00 AM","Theft from Auto","23F","Property","true","Residence / Home","Prince George's County Police","20706","II","D6","0841","PG COUNTY"
"24-0050999","2024 Aug 29 07:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"25-0035631","2025 Jun 21 09:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E6","0848","PG COUNTY"
"26-0023175","2026 May 01 11:00:00 PM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"25-0039949","2025 Jul 18 06:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0003032","2025 Dec 30 06:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"25-0001968","2025 Aug 24 09:00:00 PM","Theft from Auto","23F","Property","true","Other / Unknown","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0054320","2025 Sep 26 12:25:47 PM","Theft from Auto","23F","Property","true","Residence / Home","Prince George's County Police","20706","II","D1","0838","PG COUNTY"
"24-0065599","2024 Nov 03 07:00:04 AM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0000021","2026 Jan 04 09:52:00 AM","Theft from Auto","23F","Property","true","Residence / Home","Bowie City Police","20715","II","BP3","","BOWIE"
"25-0003659","2025 Dec 17 07:00:00 PM","Theft from Auto","23F","Property","true","Restaurant","Bowie City Police","20716","II","BP5","","BOWIE"
"24-0003134","2024 Dec 04 05:00:00 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"26-0005744","2026 Jan 27 11:00:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0000491","2026 Jan 03 05:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20720","II","D4","0869","PG COUNTY"
"25-0000424","2025 Feb 23 08:01:20 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"25-0000899","2025 Apr 20 10:30:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0003322","2025 Nov 16 04:14:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0035802","2025 Jun 30 10:30:00 PM","Theft from Auto","23F","Property","false","Residence / Home","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0040373","2026 Jul 30 12:00:00 AM","Theft from Auto","23F","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0037319","2026 Jul 13 08:30:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0027165","2025 May 21 02:12:10 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0000590","2025 Mar 13 08:30:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0031691","2025 Jun 11 12:20:04 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0001800","2025 Jun 24 02:30:53 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0001070","2025 Apr 17 06:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0070168","2024 Nov 22 10:00:14 AM","Theft from Auto","23F","Property","true","Residence/Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0064839","2024 Oct 30 06:30:00 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","20706","II","D1","0826","PG COUNTY"
"25-0031024","2025 Jun 07 01:00:26 PM","Theft from Auto","23G","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0067750","2024 Nov 09 08:30:00 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0070037","2024 Nov 22 05:01:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0002798","2024 Sep 27 09:00:00 AM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP6","","BOWIE"
"25-0001785","2025 Aug 01 02:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0036132","2025 Jul 02 08:00:00 PM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D1","0825","PG COUNTY"
"25-0013940","2025 Mar 17 05:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"24-0003075","2024 Nov 25 09:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0006764","2025 Feb 07 01:00:31 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20772","II","E4","0717","PG COUNTY"
"25-0059642","2025 Oct 25 03:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0001184","2026 Apr 28 03:28:32 PM","Theft from Auto","23G","Property","true","Other / Unknown","Bowie City Police","20716","II","BP6","","BOWIE"
"26-0003668","2026 Jan 20 07:30:49 AM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"25-0004950","2025 Jan 28 02:45:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0008363","2026 Feb 17 07:20:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"26-0000955","2026 Apr 24 11:30:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"25-0002629","2025 Sep 11 09:30:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20715","II","BP2","","BOWIE"
"25-0002138","2025 Jul 26 05:00:00 AM","Theft from Auto","23F","Property","true","Residence / Home","Bowie City Police","20715","II","BP2","","BOWIE"
"25-0054468","2025 Sep 29 04:30:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0016986","2026 Mar 01 08:00:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D6","0842","PG COUNTY"
"25-0041416","2025 Jul 25 10:00:00 PM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"25-0000389","2025 Jan 02 05:35:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20720","II","D4","0869","PG COUNTY"
"26-0041921","2026 Aug 06 09:30:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0001120","2026 Apr 23 03:20:00 PM","Theft from Auto","23F","Property","true","Residence / Home","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0039265","2025 Jul 17 08:21:56 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D1","0837","PG COUNTY"
"25-0061109","2025 Nov 01 05:30:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"25-0043118","2025 Aug 04 09:30:00 PM","Theft from Auto","23G","Property","true","Residence / Home","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0002324","2026 Jan 13 02:50:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20720","II","D5","0844","PG COUNTY"
"25-0011212","2025 Mar 03 08:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0050360","2024 Aug 26 08:00:03 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","20774","II","E5","0710","PG COUNTY"
"25-0006749","2025 Feb 07 12:01:26 PM","Theft from Auto","23F","Property","true","Service / Gas Station","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"25-0031075","2025 Jun 08 02:45:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0003276","2025 Jan 18 05:46:58 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0019077","2025 Apr 11 11:00:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"24-0076223","2024 Dec 22 10:00:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0033822","2025 Jun 21 05:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0039449","2026 Jul 24 06:00:00 PM","Theft from Auto","23G","Property","true","Hotel / Motel","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0002320","2025 Aug 09 09:00:00 AM","Theft from Auto","23F","Property","false","Residence / Home","Bowie City Police","20716","II","BP6","","BOWIE"
"25-0009101","2025 Feb 19 10:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E5","0711","PG COUNTY"
"25-0000261","2025 Jan 28 06:20:00 AM","Theft from Auto","23G","Property","true","Residence / Home","Bowie City Police","20716","II","BP4","","BOWIE"
"26-0034316","2026 May 22 11:38:02 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20772","II","E4","0709","PG COUNTY"
"25-0036743","2025 Jul 06 05:02:00 AM","Theft from Auto","23G","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0069196","2024 Nov 19 03:30:35 AM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0071360","2025 Dec 26 04:00:02 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0032804","2025 Jun 16 04:40:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0042155","2026 Aug 08 02:05:45 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D5","0828","PG COUNTY"
"24-0003281","2024 Nov 06 10:00:29 PM","Theft from Auto","23G","Property","true","Residence/Home","Bowie City Police","20720","II","BP1","","BOWIE"
"24-0076379","2024 Dec 22 01:00:00 AM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0000002","2024 Dec 30 12:40:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20715","II","BP1","","BOWIE"
"26-0029195","2026 Jun 01 09:00:35 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0040544","2026 Jul 30 05:00:00 PM","Theft from Auto","23F","Property","false","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0016467","2026 Mar 29 07:30:00 AM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"26-0002282","2026 Aug 14 08:30:00 AM","Theft from Auto","23F","Property","true","Restaurant","Bowie City Police","20716","II","BP4","","BOWIE"
"24-0075384","2024 Dec 18 05:30:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0040873","2026 Aug 01 12:00:40 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"25-0028497","2025 May 27 12:00:00 PM","Theft from Auto","23F","Property","true","Other / Unknown","Prince George's County Police","20706","II","D5","0828","PG COUNTY"
"25-0042097","2025 Jul 31 02:51:00 AM","Theft from Auto","23G","Property","true","Highway / Road / Alley","Prince George's County Police","20706","II","D6","0888","PG COUNTY"
"24-0056493","2024 Sep 23 07:30:00 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","","II","E3","0701","PG COUNTY"
"26-0024294","2026 May 06 06:30:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0856","PG COUNTY"
"24-0066607","2024 Nov 06 07:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0018219","2025 Apr 07 05:00:46 PM","Theft from Auto","23G","Property","true","Residence / Home","Bowie City Police","20721","II","E61","0861","BOWIE"
"25-0003368","2025 Jan 17 03:05:00 AM","Theft from Auto","23F","Property","true","Commercial / Office Building","Prince George's County Police","20774","II","E5","0704","PG COUNTY"
"24-0003802","2024 Dec 24 03:27:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"26-0014242","2026 Mar 19 03:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"25-0000402","2025 Feb 18 07:00:40 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"26-0013046","2026 Mar 13 09:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0002653","2024 Sep 13 07:30:50 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Bowie City Police","20716","II","BP6","","BOWIE"
"24-0066290","2024 Nov 06 01:17:50 AM","Theft from Auto","23F","Property","true","Construction Site","Prince George's County Police","20772","II","E5","0711","PG COUNTY"
"24-0064826","2024 Oct 30 10:00:00 PM","Theft from Auto","23F","Property","true","Highway/Road/Alley","Prince George's County Police","20706","II","D1","0888","PG COUNTY"
"26-0001383","2026 Jun 10 07:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"24-0063554","2024 Oct 17 12:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot/Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"25-0002514","2025 Aug 28 11:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Bowie City Police","20716","II","BP5","","BOWIE"
"26-0001580","2026 Jun 03 07:52:00 PM","Theft from Auto","23F","Property","true","Restaurant","Bowie City Police","20716","II","BP5","","BOWIE"
"25-0003747","2025 Dec 27 03:36:00 AM","Theft from Auto","23F","Property","false","Highway / Road / Alley","Bowie City Police","20720","II","BP1","","BOWIE"
"25-0002812","2025 Jan 03 10:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"25-0001496","2025 Jun 27 05:30:00 PM","Theft from Auto","23F","Property","true","Highway / Road / Alley","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"26-0033486","2026 Jun 23 07:30:00 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"25-0071083","2025 Dec 24 02:30:00 PM","Theft from Auto","23F","Property","true","Parking Lot / Garage","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0000039","2025 Jan 02 07:00:00 AM","Theft from Auto","23G","Property","true","Residence / Home","Bowie City Police","20716","II","BP6","","BOWIE"
"26-0018320","2026 Apr 07 08:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"24-0066844","2024 Nov 07 10:00:00 PM","Theft from Auto","23F","Property","true","Parking Lot/Garage","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"25-0001603","2025 Jul 12 04:29:11 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"25-0062799","2025 Nov 10 04:00:10 AM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0035816","2026 Jul 04 11:00:00 PM","Theft from Auto","23G","Property","true","Parking Lot / Garage","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
