"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"26-0024462","2026 May 08 12:24:02 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20746","IV","K3","0430","PG COUNTY"
"26-0022511","2026 Apr 28 10:26:00 PM","Murder","09A","Person","true","Community Center","Prince George's County Police","20748","IV","K2","0501","PG COUNTY"
"26-0009603","2026 Feb 25 02:34:00 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20744","IV","J4","0610","PG COUNTY"
"25-0002322","2025 Aug 12 09:28:00 PM","Murder","09A","Person","true","Residence / Home","Laurel City Police","20707","VI","LB6","09611","LAUREL"
"25-0040294","2025 Jul 22 10:39:00 PM","Murder","09A","Person","true","Shopping Mall","Prince George's County Police","20708","VI","C5","0905","PG COUNTY"
"25-0003529","2024 Dec 06 09:22:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20747","VIII","H7","0424","PG COUNTY"
"24-0070488","2024 Nov 24 07:45:00 PM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20743","VIII","H2","0416","PG COUNTY"
"25-0005837","2025 Feb 02 05:20:47 PM","Murder","09A","Person","true","Shopping Mall","Prince George's County Police","20747","VIII","H4","0423","PG COUNTY"
"25-0003066","2025 Dec 03 04:17:00 PM","Rape","11A","Person","true","Park / Playground","Hyattsville City Police","20781","I","A1","01451","HYATTSVILLE"
"25-0046948","2025 Aug 24 03:30:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20903","I","A7","0101","PG COUNTY"
"25-0043885","2025 Jul 28 11:00:24 AM","Rape","11A","Person","true","Residence / Home","Bladensburg Police","20784","I","B4","0265","PG COUNTY"
"25-0025196","2025 May 11 10:40:21 PM","Rape","11A","Person","true","Field / Woods","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0017541","2026 Apr 04 02:50:10 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20740","I","B7","2221","COLLEGE PARK"
"24-0062681","2024 Oct 20 02:00:00 PM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20783","I","A7","0104","PG COUNTY"
"25-0009474","2025 Feb 22 12:01:00 AM","Rape","11A","Person","true","Residence / Home","Bladensburg Police","20710","I","B28","0241","BLADENSBURG"
"26-0038353","2026 Jul 19 05:00:33 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A7","0107","PG COUNTY"
"26-0019803","2026 Apr 04 02:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20740","I","B63","0219","COLLEGE PARK"
"26-0005440","2026 Jan 31 01:30:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"25-0033147","2024 Nov 03 04:30:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"24-0058697","2024 Oct 01 12:00:00 PM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0031516","2024 Oct 04 04:50:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20721","II","D6","0847","PG COUNTY"
"25-0013551","2025 Mar 07 07:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20721","II","D6","0846","PG COUNTY"
"26-0039136","2026 Jul 22 04:00:00 AM","Rape","11B","Person","false","Residence / Home","Prince George's County Police","20715","II","E3","2221","PG COUNTY"
"26-0024239","2026 Apr 10 08:51:00 AM","Rape","11A","Person","true","Field / Woods","Prince George's County Police","20706","II","D1","0887","PG COUNTY"
"26-0006481","2026 Jan 19 12:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"24-0060599","2024 Oct 07 08:27:00 PM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20721","II","E6","0860","PG COUNTY"
"25-0010818","2025 Mar 01 08:00:19 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0010838","2026 Mar 02 02:00:00 AM","Murder","09A","Person","true","Field / Woods","Prince George's County Police","20737","I","B4","0235","PG COUNTY"
"25-0014986","2025 Mar 23 12:19:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
